"","V1"
"152",1.90549497579293
"153",1.09152415094883
"154",3.28337263190518
"155",1.9776666011125
"156",3.18926159582951
"157",1.39993870738155
"158",2.46903563275184
"159",2.75825186605086
"160",1.43254639427292
"161",2.84431277155646
"162",3.04541554884817
"163",1.61191629912577
"164",3.17756024191158
"165",3.27165013523359
"166",2.67795532830067
"167",4.63263312498531
"168",3.06044785466021
"169",3.04952097328167
"170",3.15748282656958
"171",1.03089407071047
"172",4.43154385589834
"173",1.60745194778725
"174",1.79002552752039
"175",3.06012956693502
"176",1.69312700674718
"177",1.15289171216837
"178",1.83421197196838
"179",1.89620595220354
"180",1.6953425797288
"181",3.87911429961658
"182",1.07455766726731
"183",2.12965660770716
"184",0.582369320877521
"185",2.89336096181569
"186",2.99687258871408
"187",1.65153388897466
"188",3.35674715644581
"189",2.12473861644272
"190",4.13258410095261
"191",2.81213062902593
"192",1.42959877151154
"193",2.93884807255919
"194",3.43631339541882
"195",3.87912771923934
"196",1.25632534673579
"197",1.66694061184772
"198",2.6690629575694
"199",2.52393347035312
"200",2.98726773143428
"201",4.20314124374195
"202",0.961424694035308
"203",2.54660658834329
"204",3.7133669118326
"205",1.09004217664894
"206",1.59521706244168
"207",1.45881762938723
"208",2.52301084297087
"209",3.09383287035478
"210",1.56352962158686
"211",3.20535503848429
"212",2.53377641322627
"213",1.92971689257957
"214",2.98040997021694
"215",3.39283653315405
"216",1.56222277480544
"217",3.31996596995097
"218",3.06797706206742
"219",0.833664880168426
"220",1.49337546589141
"221",3.19402685321209
"222",4.6016307627838
"223",1.5857914984078
"224",2.77980602346446
"225",2.35785570935524
"226",1.96165561144592
"227",2.71827183717701
"228",2.41078955661224
"229",2.19746769962416
"230",3.53671512553234
"231",2.64734159169601
"232",2.49237542495728
"233",2.67058417169689
"234",2.9980205425012
"235",0.994430633697428
"236",2.80389079464368
"237",2.27647946876254
"238",1.35901811224331
"239",2.79159937628776
"240",1.63653640497424
"241",2.6141216685689
"242",1.67776348700066
"243",3.77704094879685
"244",2.24845983139169
"245",2.25241451840372
"246",1.48605340926687
"247",3.32055991339404
"248",2.81981646867041
"249",1.44260140334136
"250",4.43900636461033
"251",2.36555995352871
"252",3.45816976666133
"253",1.06698478546997
"254",2.91443767086668
"255",3.0267904958944
"256",3.25935672453821
"257",2.58498696785498
"258",1.80123347641363
"259",1.58958733374118
"260",2.39280946229821
"261",2.94391158546165
"262",3.00471054129579
"263",2.79761246126561
"264",1.05250066457791
"265",2.89933102149008
"266",2.31400616572631
"267",4.50256819672173
"268",5.02010646301785
"269",3.25634336701453
"270",2.1926611574823
"271",3.86240852445176
"272",2.46388070096687
"273",2.00330115034699
"274",1.08808547170321
"275",1.982665061647
"276",2.76651135704506
"277",2.88538861271713
"278",1.218244919701
"279",1.50563843554611
"280",3.49390207482508
"281",3.4962776334824
"282",2.31232214228462
"283",1.88661773330676
"284",3.13874943948085
"285",2.64545896807431
"286",1.51816821628436
"287",2.55911159573197
"288",2.73443560766643
"289",0.367254692334667
"290",2.78052338401889
"291",4.82321373003061
"292",4.59317174679745
"293",3.16258412319249
"294",2.40110963025731
"295",0.629175883278938
"296",2.51766575364099
"297",3.73764630674817
"298",2.36774780760955
"299",3.60925696117547
"300",3.21364759693382
"301",2.69261476413352
"302",3.62701255207723
"303",2.53062011040507
"304",4.69499645174154
"305",2.38911255009259
"306",3.27423455622068
"307",1.65458522737638
"308",4.47114277186891
"309",1.72243629984929
"310",1.20406818580476
"311",1.91598461407551
"312",3.8466276728705
"313",2.38856599994827
"314",2.86376131554821
"315",3.40308242495794
"316",2.22330758906042
"317",3.18333043097774
"318",2.7631474830284
"319",3.20298784477703
"320",2.53181140114455
"321",2.88607400867591
"322",2.92200647759221
"323",3.04490628852359
"324",0.980721072616954
"325",3.10472479555962
"326",0.459709916119278
"327",3.13764287174423
"328",2.7813510294504
"329",2.96740916216349
"330",2.52228944478456
"331",2.45668711291365
"332",3.56369206361606
"333",2.85394099882397
"334",3.20074559520287
"335",2.6263801685307
"336",4.76724265372166
"337",2.80114130323599
"338",2.12089884424884
"339",3.66861927253585
"340",1.10159657300724
"341",3.83305844368438
"342",2.21325561788095
"343",3.56241872189402
"344",4.27230859593056
"345",3.93543797311595
"346",1.4373906662365
"347",3.05373800464806
"348",1.27140596206207
"349",2.30080774169558
"350",4.24638995361843
"351",2.29373610646011
"352",3.09794709038339
"353",3.49256667862553
"354",1.38399260623175
"355",3.25840961220878
"356",2.05303789644695
"357",3.35535661121233
"358",2.94481587345591
"359",2.971908081729
"360",2.72737685149086
"361",2.9053086313233
"362",2.52320700301698
"363",1.60529637405414
"364",1.67833444546258
"365",2.15911046464714
"366",2.98801290556796
"367",1.02197201428036
"368",2.55728988893269
"369",3.00467164958516
"370",2.79628483895644
"371",1.60194888072709
"372",1.3819351662462
"373",1.06206449188457
"374",3.13789702219974
"375",2.97125884484605
"376",4.91796001182952
"377",1.69844199493766
"378",1.77511427888778
"379",2.68885720311711
"380",2.88980518729827
"381",2.74032855768952
"382",2.03451215000366
"383",2.1516791081618
"384",2.26243289338998
"385",1.66943291370069
"386",2.48761099525619
"387",1.4055964280381
"388",3.22752755192714
"389",3.85591224390647
"390",3.19815057378333
"391",2.32040955288752
"392",0.6122302156735
"393",2.99190414536533
"394",1.1153788942999
"395",2.11032853485162
"396",1.33811168060262
"397",4.12319610937074
"398",1.53433934270231
"399",2.36463676054091
"400",3.51659530428377
"401",3.50834610451048
"402",1.50309325799822
"403",4.45250598517779
"404",4.10445629758561
"405",3.3197796387667
"406",3.6542117080463
"407",1.00908925211685
"408",1.40611528000955
"409",0.630336617025686
"410",2.267585165799
"411",2.87744735192954
"412",3.70531266278947
"413",1.80786190642729
"414",2.16797924173753
"415",3.63095112008339
"416",2.10142905506051
"417",3.46063531090681
"418",3.87389239077003
"419",3.10743823011107
"420",2.72937559125782
"421",2.27960177472037
"422",1.56412935688709
"423",1.11082292851582
"424",2.24374715135886
"425",1.55372922104846
"426",2.21932822102212
"427",1.46790302187541
"428",2.40713551141572
"429",3.03206998919769
"430",2.15856489958941
"431",2.48165413302144
"432",2.8393134745558
"433",2.28168221050351
"434",3.03085806336183
"435",4.20843120954029
"436",1.04381512538231
"437",1.89107434466511
"438",1.35176674840749
"439",2.81833747243721
"440",3.44156904951076
"441",1.38797091844509
"442",1.51351907850548
"443",3.31207295252564
"444",2.470624171593
"445",1.14307267036106
"446",3.0499700814495
"447",3.08087345573605
"448",3.50134545418777
"449",4.66097061882036
"450",2.67035377075024
"451",4.33564464725256
"452",2.69360143996359
"453",2.85818593502478
"454",2.19262397690714
"455",3.265966454338
"456",1.0454620178416
"457",2.46863785515196
"458",3.0609969162509
"459",2.601238106863
"460",2.07715240572729
"461",3.30551286665707
"462",1.87416791491523
"463",2.13244495701845
"464",1.93136446392918
"465",1.7588749894638
"466",2.13337063581461
"467",3.11694621110365
"468",3.10018786226779
"469",2.58386738463393
"470",1.31602165848267
"471",2.01506156383026
"472",2.14689863515857
"473",1.81372643550943
"474",0.75873254561549
"475",2.06621249962991
